Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	\\mchampion-nas.esc.nd.edu\DATA\Simon\timsTOF_files\20230718-SMEG-6protMix-DIA\20230718-300Smeg_D_6protl-1_S1-B6_1_6595.d	\\mchampion-nas.esc.nd.edu\DATA\Simon\timsTOF_files\20230718-SMEG-6protMix-DIA\20230718-300Smeg_D_6protl-2_S1-C6_1_6596.d	\\mchampion-nas.esc.nd.edu\DATA\Simon\timsTOF_files\20230718-SMEG-6protMix-DIA\20230718-300Smeg_D_6protl-3_S1-D6_1_6597.d
A0A8B4QIN7;A0QQ57;I7F678	A0A8B4QIN7;A0QQ57;I7F678	A0A8B4QIN7_MYCSM;A0QQ57_MYCS2;I7F678_MYCS2	MSMEG_0635;MSMEI_0619;NCTC7017_01448	Conserved exported protein of uncharacterized function	26751	26400	24890.4
A0A8B4QIR2;A0QQ42;I7G3M4	A0A8B4QIR2;A0QQ42;I7G3M4	A0A8B4QIR2_MYCSM;A0QQ42_MYCS2;I7G3M4_MYCS2	MSMEG_0619;ppe67	PPE family protein	6389.58	6284.58	6422.49
A0A8B4QIS2;A0QQ17;I7G3K6	A0A2U9PIV4;A0A8B4QIS2;A0QQ17;I7G3K6	A0A8B4QIS2_MYCSM;A0QQ17_MYCS2;I7G3K6_MYCS2	MSMEG_0594;MSMEI_0578;lutB	Iron-sulfur cluster binding protein	113746	117757	112426
A0A8B4QIS3;A0QQ16;I7FDR6	A0A2U9PIU3;A0A8B4QIS3;A0QQ16;I7FDR6	A0A8B4QIS3_MYCSM;A0QQ16_MYCS2;I7FDR6_MYCS2	MSMEG_0593;MSMEI_0577;NCTC7017_01489	Uncharacterized ACR, YkgG family COG1556	110197	103644	102154
A0A8B4QIT4;A0QQN9;I7G438	A0A2U9PJH8;A0A8B4QIT4;A0QQN9;I7G438	A0A8B4QIT4_MYCSM;A0QQN9_MYCS2;I7G438_MYCS2	MSMEG_0823;MSMEI_0804;NCTC7017_01264	Peptidyl-prolyl cis-trans isomerase	63561.6	62641	59074.9
A0A8B4QIT5;A0QQX4	A0A8B4QIT5;A0QQX4;I7FEU1	A0A8B4QIT5_MYCSM;A0QQX4_MYCS2	MSMEG_0909;NCTC7017_01182	Acyl-ACP thioesterase	128300	125357	126222
A0A8B4QIX4;A0QQG0;I7G2A3	A0A2U9PJD2;A0A8B4QIX4;A0QQG0;I7G2A3	A0A8B4QIX4_MYCSM;A0QQG0_MYCS2;I7G2A3_MYCS2	MSMEG_0742;MSMEI_0726;cysL_1	LysR family transcriptional regulator	7193.89	6997.94	6569.12
A0A8B4QIZ4	A0A2U9PJF0;A0A8B4QIZ4	A0A8B4QIZ4_MYCSM	NCTC7017_01326	Peptidase M50	16316.9	15598.8	15157
A0A8B4QJ02;A0QQ65;I7FDW2	A0A2U9PJ43;A0A8B4QJ02;A0QQ65;I7FDW2	A0A8B4QJ02_MYCSM;A0QQ65_MYCS2;I7FDW2_MYCS2	MSMEG_0643;MSMEI_0627;oppA	ABC transporter substrate-binding protein	2.36502e+06	2.39177e+06	2.33983e+06
A0A8B4QJ14;A0QQP0;I7F6R1	A0A2U9PJG5;A0A8B4QJ14;A0QQP0;I7F6R1	A0A8B4QJ14_MYCSM;A0QQP0_MYCS2;I7F6R1_MYCS2	MSMEG_0824;MSMEI_0805;NCTC7017_01263	Alpha/beta hydrolase superfamily enzyme, predicted hydrolase	7160.43	8459.61	8571.36
A0A8B4QJ18;A0QQC1;I7F6E6	A0A2U9PJC2;A0A8B4QJ18;A0QQC1;I7F6E6	A0A8B4QJ18_MYCSM;A0QQC1_MYCS2;I7F6E6_MYCS2	MSMEG_0702;MSMEI_0685;rutA_2	Luciferase-like monooxygenase superfamily protein	1.24309e+06	1.24245e+06	1.2555e+06
A0A8B4QJ20;A0QPR6;I7G3C6	A0A8B4QJ20;A0QPR6;I7G3C6	A0A8B4QJ20_MYCSM;A0QPR6_MYCS2;I7G3C6_MYCS2	MSMEG_0491;MSMEI_0478;ccpA_1	LacI family transcriptional regulator	75960.8	74326.3	72522.3
A0A8B4QJ39;A0QPQ5;I7FDH0	A0A8B4QJ39;A0QPQ5;I7FDH0	A0A8B4QJ39_MYCSM;A0QPQ5_MYCS2;I7FDH0_MYCS2	MSMEG_0480;MSMEI_0467;ydfH_3	GntR family transcriptional regulator	23584.5	22428.5	23864.3
A0A8B4QJ46;A0QPN5;I7FDF1	A0A2U9PIC3;A0A8B4QJ46;A0QPN5;I7FDF1	A0A8B4QJ46_MYCSM;A0QPN5_MYCS2;I7FDF1_MYCS2	MSMEG_0460;MSMEI_0447;NCTC7017_01618	Alpha/beta hydrolase	19507.4	20966.3	20291.8
A0A8B4QJ49;A0QQ15;I7FWN2	A0A2U9PIZ5;A0A8B4QJ49;A0QQ15;I7FWN2	A0A8B4QJ49_MYCSM;A0QQ15_MYCS2;I7FWN2_MYCS2	MSMEG_0592;MSMEI_0576;degA	LacI family transcriptional regulator	29217.3	33523.9	31427.5
A0A8B4QJ68;A0QPN9;I7FWG0	A0A8B4QJ68;A0QPN9;I7FWG0	A0A8B4QJ68_MYCSM;A0QPN9_MYCS2;I7FWG0_MYCS2	MSMEG_0465;MSMEI_0451;NCTC7017_01614	TetR family transcriptional regulator	26897.9	25958.3	25701.7
A0A8B4QJA3;A0QPJ1;I7FWC8	A0A8B4QJA3;A0QPJ1;I7FWC8	A0A8B4QJA3_MYCSM;A0QPJ1_MYCS2;I7FWC8_MYCS2	MSMEG_0416;MSMEI_0406;NCTC7017_01660	Uncharacterized protein	237368	281414	274528
A0A8B4QJA4;A0QPV4;I7FWJ6	A0A8B4QJA4;A0QPV4;I7FWJ6	A0A8B4QJA4_MYCSM;A0QPV4_MYCS2;I7FWJ6_MYCS2	MSMEG_0531;MSMEI_0516;NCTC7017_01550	Acyl-CoA dehydrogenase	533359	552819	523563
A0A8B4QJA7;I7FWA4;Q2YHI6	A0A2U9PI65;A0A8B4QJA7;I7FWA4;Q2YHI6	A0A8B4QJA7_MYCSM;I7FWA4_MYCS2;Q2YHI6_MYCS2	MSMEI_0376;NCTC7017_01689;rv1174c	Hemophore-related protein	24998.8	24248.6	23961.9
A0A8B4QJB5;I7FWC4;Q2M5K3	A0A2U9PI24;A0A8B4QJB5;I7FWC4;Q2M5K3	A0A8B4QJB5_MYCSM;I7FWC4_MYCS2;Q2M5K3_MYCS2	fadD28	FadD28	238926	243096	243388
A0A8B4QJC1;A0QPE8;I7FW74	A0A2U9PI53;A0A8B4QJC1;A0QPE8;I7FW74	A0A8B4QJC1_MYCSM;A0QPE8_MYCS2;I7FW74_MYCS2	MSMEG_0373;fadA2;fadI	Acetyl-CoA acetyltransferase	880666	858218	864679
A0A8B4QJD7;A0QPG2;I7G1S0;Q2YHI2;Q8GJ78	A0A8B4QJD7;A0QPG2;I7G1S0;Q2YHI2;Q8GJ78	A0A8B4QJD7_MYCSM;A0QPG2_MYCS2;I7G1S0_MYCS2;Q2YHI2_MYCS2;Q8GJ78_MYCSM	MSMEG_0387;mtf4;rmt2	Rmt2 protein	177483	178567	179904
A0A8B4QJD9;A0QPE7;I7G1P3	A0A2U9PHZ5;A0A8B4QJD9;A0QPE7;I7G1P3	A0A8B4QJD9_MYCSM;A0QPE7_MYCS2;I7G1P3_MYCS2	MSMEG_0372;fabG4	3-oxoacyl-acyl-carrier protein reductase FabG4	2.00491e+06	1.91776e+06	1.88091e+06
A0A8B4QJE5;A0QPQ9;I7FWH2	A0A8B4QJE5;A0QPQ9;I7FWH2	A0A8B4QJE5_MYCSM;A0QPQ9_MYCS2;I7FWH2_MYCS2	MSMEG_0484;MSMEI_0471;fmdA	Formamidase	51537	54936.5	53984.3
A0A8B4QJE9;A0QPD7	A0A2U9PHY7;A0A8B4QJE9;A0QPD7;I7G1N5	A0A8B4QJE9_MYCSM;A0QPD7_MYCS2	MSMEG_0362;NCTC7017_01711	Amidohydrolase	16055.9	13817.5	15807.8
A0A8B4QJF1;A0QPB8;I7FW48	A0A8B4QJF1;A0QPB8;I7FW48	A0A8B4QJF1_MYCSM;A0QPB8_MYCS2;I7FW48_MYCS2	MSMEG_0343;MSMEI_0336;kstR2_4	TetR family transcriptional regulator	16856.4	19234.7	20163.3
A0A8B4QJF4	A0A8B4QJF4	A0A8B4QJF4_MYCSM	atf1	Atf1	3577.31	3368.38	3544.95
A0A8B4QJF8;A0A8B4R3T5;A0QPX1;A0QZL8;I7FGA1;I7G3H0	A0A8B4QG68;A0A8B4QJF8;A0A8B4R3T5;A0QPX1;A0QZL8;I7FGA1;I7FYP8;I7G3H0	A0A8B4QJF8_MYCSM;A0A8B4R3T5_MYCSM;A0QPX1_MYCS2;A0QZL8_MYCS2;I7FGA1_MYCS2;I7G3H0_MYCS2	MSMEG_0547;MSMEG_4072;MSMEI_0533;MSMEI_3972;NCTC7017_01533;NCTC7017_04848	Transposase	14290.5	13620.3	11948.9
A0A8B4QJF9;A0QPE2;I7G1N9	A0A2U9PI12;A0A8B4QJF9;A0QPE2;I7G1N9	A0A8B4QJF9_MYCSM;A0QPE2_MYCS2;I7G1N9_MYCS2	MSMEG_0367;MSMEI_0360;tcmN_1	Hydroxyneurosporene-O-methyltransferase	30373.6	21854.7	21483.7
A0A8B4QJG3;A0QPP3;I7G1W0	A0A8B4QJG3;A0QPP3;I7G1W0	A0A8B4QJG3_MYCSM;A0QPP3_MYCS2;I7G1W0_MYCS2	MSMEG_0469;MSMEI_0455;NCTC7017_01610	N-acetyltransferase GCN5	24398.3	24310.5	24521.4
A0A8B4QJG4;I7G328;Q2YHI9	A0A2U9PI46;A0A8B4QJG4;I7G328;Q2YHI9	A0A8B4QJG4_MYCSM;I7G328_MYCS2;Q2YHI9_MYCS2	mmpS4;mmpS4_2	MmpS4	46962	49171.1	48845.3
A0A8B4QJH1;A0QPE5;I7G300	A0A2U9PI36;A0A8B4QJH1;A0QPE5;I7G300	A0A8B4QJH1_MYCSM;A0QPE5_MYCS2;I7G300_MYCS2	MSMEG_0370;MSMEI_0363;NCTC7017_01703	Cytosolic protein	82513.1	86256.8	85150.3
A0A8B4QJM8;A0QPG6;I7F5J6;Q2YHH8;Q9RFV1	A0A8B4QJM8;A0QPG6;I7F5J6;Q2YHH8;Q9RFV1	A0A8B4QJM8_MYCSM;A0QPG6_MYCS2;I7F5J6_MYCS2;Q2YHH8_MYCS2;Q9RFV1_MYCSM	MSMEG_0391;mtf1;rmt3	Rmt3	381383	364482	357912
A0A8B4QJN3;A0QP39	A0A2U9PHU2;A0A8B4QJN3;A0QP39;I7G1G5	A0A8B4QJN3_MYCSM;A0QP39_MYCS2	MSMEG_0262;frc_8	Putative acyl-CoA transferase/carnitine dehydratase	19625.4	21141.3	19649.7
A0A8B4QJN7;A0QPP0;I7FDF6	A0A2U9PI67;A0A8B4QJN7;A0QPP0;I7FDF6	A0A8B4QJN7_MYCSM;A0QPP0_MYCS2;I7FDF6_MYCS2	MSMEG_0464;MSMEI_0452;pdxK	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase	133934	140112	137321
A0A8B4QJP5;A0QP29;I7G1F8	A0A8B4QJP5;A0QP29;I7G1F8	A0A8B4QJP5_MYCSM;A0QP29_MYCS2;I7G1F8_MYCS2	trmB	tRNA (guanine-N(7)-)-methyltransferase	51319.7	57547.2	58765.9
A0A8B4QJP8;A0QP53;I7F550	A0A8B4QJP8;A0QP53;I7F550	A0A8B4QJP8_MYCSM;A0QP53_MYCS2;I7F550_MYCS2	MSMEG_0276;MSMEI_0269;sucD_1	Aldehyde-alcohol dehydrogenase	29400.1	31440.4	31072.2
A0A8B4QJP9;A0QPE6;I7F5F7	A0A2U9PHZ9;A0A8B4QJP9;A0QPE6;I7F5F7	A0A8B4QJP9_MYCSM;A0QPE6_MYCS2;I7F5F7_MYCS2	MSMEG_0371;MSMEI_0364;NCTC7017_01702	MaoC-like dehydratase	1.3587e+06	1.38341e+06	1.40292e+06
A0A8B4QJQ0;A0QPE1;I7F5F2	A0A2U9PHY4;A0A8B4QJQ0;A0QPE1;I7F5F2	A0A8B4QJQ0_MYCSM;A0QPE1_MYCS2;I7F5F2_MYCS2	MSMEG_0366;MSMEI_0359;NCTC7017_01707	Uncharacterized protein	113397	118786	119374
A0A8B4QJR0;A0QPD1;I7F5E0	A0A8B4QJR0;A0QPD1;I7F5E0	A0A8B4QJR0_MYCSM;A0QPD1_MYCS2;I7F5E0_MYCS2	MSMEG_0356;MSMEI_0349;NCTC7017_01717	Acetyltransferase-like protein	63499	54775.2	51305.7
A0A8B4QJR1;A0QPD6;I7F5E6	A0A2U9PHY8;A0A8B4QJR1;A0QPD6;I7F5E6	A0A8B4QJR1_MYCSM;A0QPD6_MYCS2;I7F5E6_MYCS2	MSMEG_0361;MSMEI_0354;NCTC7017_01712	Glycosyl hydrolase	125490	126600	123367
A0A8B4QJS1;A0QNZ9;I7G1D9	A0A8B4QJS1;A0QNZ9;I7G1D9	A0A8B4QJS1_MYCSM;A0QNZ9_MYCS2;I7G1D9_MYCS2	MSMEG_0222;MSMEI_0215;NCTC7017_01850	Protein of uncharacterized function (DUF2786)	9657.67	10448.6	8893
A0A8B4QJT6;A0QP13;I7F515	A0A2U9PHP6;A0A8B4QJT6;A0QP13;I7F515	A0A8B4QJT6_MYCSM;A0QP13_MYCS2;I7F515_MYCS2	MSMEG_0236;MSMEI_0229;NCTC7017_01836	Transmembrane protein	20667.4	19174.1	18812.6
A0A8B4QJU8;A0QP08;I7F511	A0A8B4QJU8;A0QP08;I7F511	A0A8B4QJU8_MYCSM;A0QP08_MYCS2;I7F511_MYCS2	MSMEG_0231;MSMEI_0224;NCTC7017_01841	S-adenosyl-L-methionine-dependent methyl transferase	99469.3	97712.4	95598.1
A0A8B4QJV6;A0QP06;I7FCR6	A0A8B4QJV6;A0A2U9PHR2;A0QP06;I7FCR6	A0A8B4QJV6_MYCSM;A0QP06_MYCS2;I7FCR6_MYCS2	ilvD;ilvD_4	Dihydroxy-acid dehydratase	680129	691919	685258
A0A8B4QJW6;A0QNZ8;I7F4Z8	A0A2U9PHL8;A0A8B4QJW6;A0QNZ8;I7F4Z8;L0IP77	A0A8B4QJW6_MYCSM;A0QNZ8_MYCS2;I7F4Z8_MYCS2	MSMEG_0221;MSMEI_0214;NCTC7017_01851	Secreted protein	99833.1	96693.1	98257.6
A0A8B4QJY1;A0QPE3;I7FW71	A0A2U9PHZ7;A0A8B4QJY1;A0QPE3;I7FW71	A0A8B4QJY1_MYCSM;A0QPE3_MYCS2;I7FW71_MYCS2	MSMEG_0368;MSMEI_0361;NCTC7017_01705	Protein of uncharacterized function (DUF3375)	49538.6	50000.9	50723
A0A8B4QK01;A0QNV7;I7G1C0	A0A2U9PHG3;A0A8B4QK01;A0QNV7;I7G1C0	A0A8B4QK01_MYCSM;A0QNV7_MYCS2;I7G1C0_MYCS2	MSMEG_0179;MSMEI_0175;ydfH_4	GntR family transcriptional regulator	22522.3	22092.6	21572.5
A0A8B4QK06;A0QPG9;I7FD99	A0A8B4QK06;A0QPG9;I7FD99	A0A8B4QK06_MYCSM;A0QPG9_MYCS2;I7FD99_MYCS2	MSMEG_0394;MSMEI_0387;NCTC7017_01678	Uncharacterized protein	17324.9	16890.1	18449.5
A0A8B4QK18;A0QPP7;I7F5R7	A0A8B4QK18;A0QPP7;I7F5R7	A0A8B4QK18_MYCSM;A0QPP7_MYCS2;I7F5R7_MYCS2	MSMEG_0472;MSMEI_0459;NCTC7017_01606	Lipoprotein	2842.22	4390.96	2916.01
A0A8B4QK22;A0QP12;I7G2Q1	A0A2U9PHN4;A0A8B4QK22;A0QP12;I7G2Q1	A0A8B4QK22_MYCSM;A0QP12_MYCS2;I7G2Q1_MYCS2	MSMEG_0235;MSMEI_0228;NCTC7017_01837	Conserved membrane protein of uncharacterized function	31531.6	31722	30528.4
A0A8B4QK30;A0QP02;I7G2P4	A0A2U9PHL4;A0A8B4QK30;A0QP02;I7G2P4	A0A8B4QK30_MYCSM;A0QP02_MYCS2;I7G2P4_MYCS2	MSMEG_0225;mmpL5;mmpL5_2	Transmembrane transport protein MmpL1	4168.4	4471.2	4496.43
A0A8B4QK35;A0QPD9;I7FD54	A0A8B4QK35;A0QPD9;I7FD54	A0A8B4QK35_MYCSM;A0QPD9_MYCS2;I7FD54_MYCS2	MSMEG_0364;MSMEI_0357;NCTC7017_01709	ESX-1 secretion-associated protein	5760.93	11009.2	8977.51
A0A8B4QK91;A0QP34;I7G1G2	A0A2U9PHR6;A0A8B4QK91;A0QP34;I7G1G2	A0A8B4QK91_MYCSM;A0QP34_MYCS2;I7G1G2_MYCS2	MSMEG_0257;fadD4	Fatty-acid-CoA ligase FadD4	9850.97	11654.4	10024.5
A0A8B4QKA1;A0QPG0;I7G341;Q2YHI4;Q8GJ80	A0A8B4QKA1;A0QPG0;I7G341;Q2YHI4;Q8GJ80	A0A8B4QKA1_MYCSM;A0QPG0_MYCS2;I7G341_MYCS2;Q2YHI4_MYCS2;Q8GJ80_MYCSM	MSMEG_0385;MSMEI_0378;NCTC7017_01687;gtf3	Glycosyl transferase family protein	6937.77	6494.49	7756.85
A0A8B4QKC1;A0QPE0;I7G2Z6	A0A2U9PHZ6;A0A8B4QKC1;A0QPE0;I7G2Z6	A0A8B4QKC1_MYCSM;A0QPE0_MYCS2;I7G2Z6_MYCS2	MSMEG_0365;MSMEI_0358;NCTC7017_01708	Alpha/beta hydrolase of uncharacterized function (DUF1023)	34904	37851.5	36451
A0A8B4QKD7;A0QP40;I7FVW8	A0A8B4QKD7;A0QP40;I7FVW8	A0A8B4QKD7_MYCSM;A0QP40_MYCS2;I7FVW8_MYCS2	MSMEG_0263;MSMEI_0256;nfdA_3	Amidohydrolase	23520.1	24384.5	25799.1
A0A8B4QKI1;A0R7I3;I7FW08	A0A8B4QKI1;A0R7I3;I7FW08	A0A8B4QKI1_MYCSM;A0R7I3_MYCS2;I7FW08_MYCS2	MSMEG_6927;MSMEI_6737;NCTC7017_02086	MutT/NUDIX family protein	1184.36	1881.38	2427.66
A0A8B4QKK4;A0QP45;I7FVX3	A0A2U9PHS6;A0A8B4QKK4;A0QP45;I7FVX3	A0A8B4QKK4_MYCSM;A0QP45_MYCS2;I7FVX3_MYCS2	MSMEG_0268;MSMEI_0261;yvoA_2	GntR family transcriptional regulator	37803.7	38696.3	40544.6
A0A8B4QKP2;A0QNF4;I7FVD4	A0A8B4QKP2;A0QNF4;I7FVD4	A0A8B4QKP2_MYCSM;A0QNF4_MYCS2;I7FVD4_MYCS2	MSMEG_0022;MSMEI_0024;pvdA	L-lysine N6-monooxygenase MbtG	9926.99	10540.8	9886.1
A0A8B4QKP9;A0QP11;I7FCS2	A0A2U9PHM3;A0A8B4QKP9;A0QP11;I7FCS2	A0A8B4QKP9_MYCSM;A0QP11_MYCS2;I7FCS2_MYCS2	MSMEG_0234;MSMEI_0227;pepO	PgPepO oligopeptidase Metallo peptidase MEROPS family M13	576704	582796	577851
A0A8B4QKR1;A0QNS0;I7F4R4	A0A2U9PHE4;A0A8B4QKR1;A0QNS0;I7F4R4	A0A8B4QKR1_MYCSM;A0QNS0_MYCS2;I7F4R4_MYCS2	MSMEG_0142;MSMEI_0139;NCTC7017_01929	CoA-transferase family III	23256.7	22425.6	24050.4
A0A8B4QKS8;A0R7J0;I7GGS5;L0J5S2	A0A8B4QKS8;A0R7J0;I7GGS5;L0J5S2	A0A8B4QKS8_MYCSM;A0R7J0_MYCS2;I7GGS5_MYCS2;L0J5S2_9MYCO	Mycsm_06503;trx;trxA;trxA_1	Thioredoxin	516949	510432	482135
A0A8B4QKT1;A0R7I4;I7GGS4	A0A2U9Q1N5;A0A8B4QKT1;A0R7I4;I7GGS4;L0J5R6	A0A8B4QKT1_MYCSM;A0R7I4_MYCS2;I7GGS4_MYCS2	MSMEG_6928;MSMEI_6738;NCTC7017_02085	Putative secreted protein	33255.9	34117.1	31940.7
A0A8B4QKT4;A0QNL2;I7G2F8	A0A2U9PH90;A0A8B4QKT4;A0QNL2;I7G2F8	A0A8B4QKT4_MYCSM;A0QNL2_MYCS2;I7G2F8_MYCS2	MSMEG_0084;MSMEI_0082;ptsH	Phosphocarrier protein HPr	147804	141327	149690
A0A8B4QKU0;A0QNX2;I7F4X0	A0A2U9PHH6;A0A8B4QKU0;A0QNX2;I7F4X0	A0A8B4QKU0_MYCSM;A0QNX2_MYCS2;I7F4X0_MYCS2	MSMEG_0194;cut1;cut1_2	Cutinase Cut1	126909	111359	117185
A0A8B4QKU7;A0QNN8;I7FCH0	A0A2U9PHB3;A0A8B4QKU7;A0A8B4R2T4;A0A8B4RA16;A0QNN8;A0QZQ3;I7FCH0;I7FP37	A0A8B4QKU7_MYCSM;A0QNN8_MYCS2;I7FCH0_MYCS2	MSMEI_0106;pntA;pntA_1	proton-translocating NAD(P)(+) transhydrogenase	199468	200841	192295
A0A8B4QL11;A0R6Y9;I7FVK9	A0A8B4QL11;A0R6Y9;I7FVK9	A0A8B4QL11_MYCSM;A0R6Y9_MYCS2;I7FVK9_MYCS2	MSMEG_6719;MSMEI_6537;NCTC7017_02284	Alpha/beta hydrolase fold protein	6726.27	7549.5	7229.26
A0A8B4QL29;A0R790;I7GGQ1	A0A8B4QL29;A0R790;I7GGQ1	A0A8B4QL29_MYCSM;A0R790_MYCS2;I7GGQ1_MYCS2	MSMEG_6824;MSMEI_6643;NCTC7017_02180	MarR-family regulatory protein	8357.43	6351.02	8726.44
A0A8B4QL39;A0QNF2;I7F4D3	A0A2U9PH15;A0A8B4QL39;A0QNF2;I7F4D3;O87315	A0A8B4QL39_MYCSM;A0QNF2_MYCS2;I7F4D3_MYCS2	MSMEG_0020;MSMEI_0022;yhfQ_2	Periplasmic iron-transport lipoprotein	151381	155756	146611
A0A8B4QL65;A0R6R0;I7GBB8	A0A8B4QL65;A0R6R0;I7GBB8	A0A8B4QL65_MYCSM;A0R6R0_MYCS2;I7GBB8_MYCS2	MSMEG_6639;MSMEI_6461;ydfH_6	GntR family transcriptional regulator	29575	28910.5	29044.3
A0A8B4QL73;A0R6R4;I7FNQ4	A0A8B4QL73;A0R6R4;I7FNQ4	A0A8B4QL73_MYCSM;A0R6R4_MYCS2;I7FNQ4_MYCS2	MSMEG_6644;MSMEI_6464;mcl1_1	Citrate (Pro-3S)-lyase	7680.37	6468.83	6610.69
A0A8B4QL99;A0R6Q7;I7GGK9	A0A8B4QL99;A0R6Q7;I7GGK9	A0A8B4QL99_MYCSM;A0R6Q7_MYCS2;I7GGK9_MYCS2	MSMEG_6636;sodB	Superoxide dismutase	209989	208849	225816
A0A8B4QLD6;A0R776;I7GG61	A0A8B4QLD6;A0R776;I7GG61	A0A8B4QLD6_MYCSM;A0R776_MYCS2;I7GG61_MYCS2	MSMEG_6807;MSMEI_6625;acrR_3	TetR family transcriptional regulator	7790.75	6784.32	7801.68
A0A8B4QLE8;A0R7I2;I7GBZ5	A0A2U9Q117;A0A8B4QLE8;A0R7I2;I7GBZ5	A0A8B4QLE8_MYCSM;A0R7I2_MYCS2;I7GBZ5_MYCS2	MSMEG_6926;pcnB	Poly(A) polymerase PcnA	88260.6	92611.7	91222.8
A0A8B4QLL1;A0R6R7;I7FVF3	A0A8B4QLL1;A0R6R7;I7FVF3	A0A8B4QLL1_MYCSM;A0R6R7_MYCS2;I7FVF3_MYCS2	MSMEI_6467;prpB	Methylisocitrate lyase	4540.7	4111.36	4045.08
A0A8B4QLR5;A0R6Z0;I7GGN0	A0A8B4QLR5;A0R6Z0;I7GGN0	A0A8B4QLR5_MYCSM;A0R6Z0_MYCS2;I7GGN0_MYCS2	MSMEG_6720;MSMEI_6538;NCTC7017_02283	Alpha/beta hydrolase fold protein	14040.9	14052.2	13934.2
A0A8B4QLV9;A4ZHT8;I7GGJ1	A0A2U9PZX3;A0A8B4QLV9;A4ZHT8;I7GGJ1	A0A8B4QLV9_MYCSM;A4ZHT8_MYCS2;I7GGJ1_MYCS2	MSMEG6504;MSMEI_6368;rsbU	Stage II sporulation protein E (SpoIIE)	37374	37054.5	35494.9
A0A8B4QLX1;A0R6G3;I7GGJ0	A0A8B4QLX1;A0R6G3;I7GGJ0	A0A8B4QLX1_MYCSM;A0R6G3_MYCS2;I7GGJ0_MYCS2	MSMEG_6538;MSMEI_6363;pldh-t_1	Short-chain dehydrogenase	14502.8	14318.9	11771.5
A0A8B4QLY8;A0R6R5;I7GG09	A0A8B4QLY8;A0R6R5;I7GG09	A0A8B4QLY8_MYCSM;A0R6R5_MYCS2;I7GG09_MYCS2	MSMEG_6643;MSMEI_6465;NCTC7017_02354	XRE family transcriptional regulator	19338.5	20759.8	19972.9
A0A8B4QM15;A0R5Z1;I7GGD1	A0A2U9PZM5;A0A8B4QM15;A0R5Z1;I7GGD1;L0J4X5	A0A8B4QM15_MYCSM;A0R5Z1_MYCS2;I7GGD1_MYCS2	MSMEG_6366;rfbE;tagH	ABC transporter-like protein	84223	82117.4	81505.5
A0A8B4QM20;A0R5W6;I7FMQ8	A0A2U9PZK4;A0A8B4QM20;A0R5W6;I7FMQ8	A0A8B4QM20_MYCSM;A0R5W6_MYCS2;I7FMQ8_MYCS2	MSMEG_6337;fadE36	Acyl-CoA dehydrogenase FadE36	136884	142712	149581
A0A8B4QM23;A0R5U2;I7GFM5	A0A8B4QM23;A0A2U9PZC4;A0R5U2;I7GFM5	A0A8B4QM23_MYCSM;A0R5U2_MYCS2;I7GFM5_MYCS2	MSMEG_6312;cyp123;cyp123_2	Cytochrome P450	85251.5	94623.7	91495.1
A0A8B4QM34;I7GFM1	A0A2U9PZB4;A0A8B4QM34;A0R5T1;I7GFM1	A0A8B4QM34_MYCSM;I7GFM1_MYCS2	MSMEI_6136;ligD	DNA polymerase LigD polymerase subunit	36457.9	35433.7	38069.9
A0A8B4QM38;A0R5X0;I7GGC4	A0A8B4QM38;A0R5X0;I7GGC4	A0A8B4QM38_MYCSM;A0R5X0_MYCS2;I7GGC4_MYCS2	Hgd_1;MSMEG_6341;MSMEI_6175	6-phosphogluconate dehydrogenase	9352.35	9236.1	10981.3
A0A8B4QM39;A0R5U5;I7GGB5	A0A2U9Q118;A0A8B4QM39;A0R5U5;I7GGB5;L0J4N6	A0A8B4QM39_MYCSM;A0R5U5_MYCS2;I7GGB5_MYCS2	MSMEG_6314;dhmA1	Haloalkane dehalogenase	14342.7	13496.5	14176.6
A0A8B4QM54;A0R6S0;I7GG10	A0A8B4QM54;A0R6S0;I7GG10	A0A8B4QM54_MYCSM;A0R6S0_MYCS2;I7GG10_MYCS2	MSMEG_6649;MSMEI_6470;NCTC7017_02349	Methylenetetrahydrofolate reductase	80979.6	82680.1	77563.3
A0A8B4QMD4	A0A2U9PZ15;A0A8B4QMD4;A0R5L6;I7FMH0	A0A8B4QMD4_MYCSM	tehB	Type 11 methyltransferase	675963	695370	691588
A0A8B4QMD7;A0R5H0;I7FMD9	A0A2U9PYX0;A0A8B4QMD7;A0R5H0;I7FMD9	A0A8B4QMD7_MYCSM;A0R5H0_MYCS2;I7FMD9_MYCS2	MSMEG_6188;MSMEI_6028;NCTC7017_02794	Membrane protein	10399.4	13276.3	11697.9
A0A8B4QMF2;A0R5G8;I7FUB2	A0A2U9PZ45;A0A8B4QMF2;A0R5G8;I7FUB2	A0A8B4QMF2_MYCSM;A0R5G8_MYCS2;I7FUB2_MYCS2	MSMEG_6186;MSMEI_6026;resA	Membrane-anchored thioredoxin-like protein (Thiol-disulfide interchange related protein)	19840.8	16219.6	16026.3
